length,maxsquirt ,logsquirt
68,70,1.84509804
66,78,1.892094603
62,52,1.716003344
66,80,1.903089987
53,46,1.662757832
72,75,1.875061263
75,100,2
69,90,1.954242509
72,90,1.954242509
56,84,1.924279286
67.5,53,1.72427587
56,54,1.73239376
70,77,1.886490725
65.3,47,1.672097858
74.5,79,1.897627091
